CUE,CUEAnexo,Comun,Especial,Adultos,Artistica,Hospitalaria,Intercultural,Carcelaria
0200394,020039400,,,1,,,,
0200398,020039800,1,,,,,,
0200399,020039900,1,,,,,,
0200400,020040000,1,,,,,,
0200401,020040100,1,,,,,,
0200402,020040200,1,,,,,,
0200403,020040300,1,,,,,,
0200404,020040400,1,,,,,,
0200405,020040500,,1,,,,,
0200407,020040700,1,,,,,,
0200408,020040800,,1,,,,,
0200409,020040900,,1,,,,,
0200410,020041000,1,,,,,,
0200411,020041100,1,,,,,,
0200412,020041200,1,,,,,,
0200413,020041300,1,,,,,,
0200414,020041400,1,,,,,,
0200415,020041500,1,,,,,,
0200416,020041600,,1,,,,,
0200417,020041700,1,,,,,,
0200418,020041800,1,,,,,,
0200419,020041900,1,,,,,,
0200420,020042000,1,,,,,,
0200421,020042100,1,,,,,,
0200422,020042200,1,,,,,,
0200423,020042300,,,1,,,,
0200424,020042400,1,,,,,,
0200425,020042500,1,,,,,,
0200426,020042600,1,,,,,,
0200427,020042700,1,,,,,,
0200428,020042800,1,,,,,,
0200431,020043100,,,1,,,,
0200433,020043300,1,,,,,,
0200436,020043600,,,1,,,,
0200437,020043700,1,,1,,,,
0200438,020043800,1,,,,,,
0200439,020043900,1,,,,,,
0200440,020044000,1,,,,,,
0200441,020044100,1,,,,,,
0200442,020044200,1,,,,,,
0200444,020044400,1,,,,,,
0200444,020044401,1,,,,,,
0200444,020044402,1,,,,,,
0200446,020044600,1,,,,,,
0200447,020044700,1,,,,,,
0200451,020045100,1,,,,,,
0200452,020045200,,,1,,,,
0200453,020045300,,,1,,,,
0200455,020045500,1,,,,,,
0200456,020045600,1,,,,,,
0200457,020045700,1,,,,,,
0200458,020045800,1,,,,,,
0200459,020045900,,,1,,,,
0200460,020046000,1,,,,,,
0200461,020046100,1,,,,,,
0200462,020046200,1,,,,,,
0200463,020046300,1,,,,,,
0200464,020046400,1,,,,,,
0200465,020046500,,,1,,,,
0200467,020046700,1,,,,,,
0200467,020046702,1,,,,,,
0200467,020046703,1,,,,,,
0200468,020046800,,,1,,,,
0200469,020046900,1,,,,,,
0200470,020047000,1,,,,,,
0200472,020047200,1,,,,,,
0200473,020047300,1,,,,,,
0200474,020047400,1,,,,,,
0200476,020047600,1,,,,,,
0200477,020047700,1,,,,,,
0200478,020047800,1,,,,,,
0200479,020047900,1,,,,,,
0200480,020048000,,,1,,,,
0200481,020048100,1,,,,,,
0200483,020048300,1,,,,,,
0200484,020048400,1,,,,,,
0200485,020048500,1,,,,,,
0200486,020048600,1,,,,,,
0200487,020048700,1,,1,,,,
0200489,020048900,1,,,,,,
0200490,020049000,1,,,,,,
0200491,020049100,1,,,,,,
0200492,020049200,1,,,,,,
0200493,020049300,1,,,,,,
0200494,020049400,1,,,,,,
0200495,020049500,1,,,,,,
0200496,020049600,1,,,,,,
0200497,020049700,1,,,,,,
0200498,020049800,,,1,,,,
0200499,020049900,1,,,,,,
0200500,020050000,1,,,,,,
0200502,020050200,1,,,,,,
0200503,020050300,1,,,,,,
0200504,020050400,1,,,,,,
0200505,020050500,,1,,,,,
0200506,020050600,1,,,,,,
0200508,020050800,1,,,,,,
0200509,020050900,1,,,,,,
0200511,020051100,1,,,,,,
0200512,020051200,1,,,,,,
0200513,020051300,1,,1,,,,
0200514,020051400,1,,,,,,
0200516,020051600,1,,,,,,
0200518,020051800,1,,,,,,
0200519,020051900,1,,,,,,
0200520,020052000,1,,,,,,
0200521,020052100,1,,,,,,
0200523,020052300,1,,,,,,
0200524,020052400,1,,,,,,
0200525,020052500,1,,,,,,
0200526,020052600,1,,,,,,
0200527,020052700,1,,,,,,
0200528,020052800,1,,,,,,
0200530,020053000,1,,,,,,
0200531,020053100,1,,1,,,,
0200532,020053200,1,,,,,,
0200533,020053300,1,,,,,,
0200534,020053400,1,,,,,,
0200535,020053500,1,,,,,,
0200536,020053600,1,,,,,,
0200536,020053601,1,,,,,,
0200537,020053700,,,1,,,,
0200538,020053800,,,1,,,,
0200539,020053900,1,,1,,,,
0200540,020054000,1,,,,,,
0200541,020054100,1,,,,,,
0200542,020054200,1,,,,,,
0200543,020054300,1,,,,,,
0200544,020054400,1,,,,,,
0200545,020054500,1,,,,,,
0200546,020054600,1,,,,,,
0200547,020054700,,1,,,,,
0200549,020054900,,,1,,,,
0200551,020055100,,,1,,,,
0200553,020055300,,,1,,,,
0200554,020055400,1,,,,,,
0200554,020055401,1,,,,,,
0200554,020055402,1,,,,,,
0200554,020055403,1,,,,,,
0200554,020055404,1,,,,,,
0200555,020055500,1,,,,,,
0200556,020055600,1,,,,,,
0200557,020055700,1,,,,,,
0200558,020055800,1,,,,,,
0200559,020055900,1,,,,,,
0200560,020056000,1,,,,,,
0200561,020056100,1,,,,,,
0200562,020056200,1,,,,,,
0200563,020056300,1,,1,,,,
0200564,020056400,1,,,,,,
0200565,020056500,1,,,,,,
0200566,020056600,1,,,,,,
0200567,020056700,1,,,,,,
0200568,020056800,1,,,,,,
0200570,020057000,1,,,,,,
0200571,020057100,1,,,,,,
0200572,020057200,1,,,,,,
0200575,020057500,1,,,,,,
0200578,020057800,1,,,,,,
0200579,020057900,1,,,,,,
0200580,020058000,1,,,,,,
0200580,020058001,1,,,,,,
0200581,020058100,1,,,,,,
0200582,020058200,1,,,,,,
0200583,020058300,1,,,,,,
0200584,020058400,1,,,,,,
0200584,020058401,1,,,,,,
0200585,020058500,1,,,,,,
0200588,020058800,1,,,,,,
0200589,020058900,1,,,,,,
0200592,020059200,1,,,,,,
0200593,020059300,1,,,,,,
0200594,020059400,1,,,,,,
0200595,020059500,1,,,,,,
0200596,020059600,1,,,,,,
0200598,020059800,1,,,,,,
0200599,020059900,1,,,,,,
0200600,020060000,1,,,,,,
0200601,020060100,1,,,,,,
0200602,020060200,1,,,,,,
0200603,020060300,1,,,,,,
0200605,020060500,1,,,,,,
0200606,020060600,1,,,,,,
0200607,020060700,1,,,,,,
0200611,020061100,1,,,,,,
0200612,020061200,1,,,,,,
0200613,020061300,1,,,,,,
0200614,020061400,1,,,,,,
0200615,020061500,1,,,,,,
0200616,020061600,1,,,,,,
0200617,020061700,1,,,,,,
0200617,020061701,1,,,,,,
0200617,020061703,1,,,,,,
0200617,020061704,1,,,,,,
0200618,020061800,1,,,,,,
0200619,020061900,1,,,,,,
0200620,020062000,1,,,,,,
0200621,020062100,1,,,,,,
0200622,020062200,1,,,,,,
0200623,020062300,1,,1,,,,
0200624,020062400,1,,,,,,
0200626,020062600,,,1,,,,
0200628,020062800,1,,,,,,
0200629,020062900,1,,,,,,
0200630,020063000,1,,,,,,
0200631,020063100,1,,,,,,
0200632,020063200,1,,,,,,
0200633,020063300,1,,,,,,
0200634,020063400,1,,,,,,
0200634,020063401,1,,,,,,
0200634,020063402,1,,,,,,
0200635,020063500,1,,,,,,
0200637,020063700,1,,1,,,,
0200638,020063800,1,,,,,,
0200639,020063900,1,,,,,,
0200641,020064100,1,,,,,,
0200642,020064200,1,,,,,,
0200643,020064300,1,,,,,,
0200644,020064400,1,,,,,,
0200645,020064500,1,,,,,,
0200646,020064600,1,,,,,,
0200647,020064700,1,,,,,,
0200648,020064800,1,,,,,,
0200649,020064900,1,,,,,,
0200650,020065000,1,,,,,,
0200651,020065100,,,1,,,,
0200652,020065200,1,,,,,,
0200653,020065300,1,,,,,,
0200654,020065400,1,,,,,,
0200655,020065500,1,,,,,,
0200656,020065600,1,,,,,,
0200658,020065800,1,,,,,,
0200659,020065900,1,,,,,,
0200660,020066000,1,,,,,,
0200661,020066100,1,,,,,,
0200662,020066200,1,,,,,,
0200663,020066300,1,,,,,,
0200664,020066400,1,,,,,,
0200666,020066600,1,,,,,,
0200667,020066700,1,,,,,,
0200668,020066800,1,,,,,,
0200669,020066900,1,,,,,,
0200670,020067000,1,,,,,,
0200672,020067200,1,,,,,,
0200673,020067300,1,,,,,,
0200674,020067400,1,,,,,,
0200675,020067500,1,,,,,,
0200676,020067600,1,,,,,,
0200677,020067700,1,,,,,,
0200678,020067800,1,,,,,,
0200680,020068000,1,,,,,,
0200681,020068100,1,,,,,,
0200683,020068300,1,,,,,,
0200684,020068400,1,,,,,,
0200685,020068500,1,,,,,,
0200686,020068600,1,,,,,,
0200687,020068700,1,,,,,,
0200689,020068900,1,,,,,,
0200690,020069000,1,1,,,,,
0200691,020069100,1,,,,,,
0200692,020069200,1,,,,,,
0200694,020069400,1,,,,,,
0200695,020069500,1,,,,,,
0200695,020069502,1,,,,,,
0200695,020069504,1,,,,,,
0200696,020069600,1,,,,,,
0200697,020069700,,1,,,,,
0200698,020069800,,1,,,,,
0200699,020069900,1,,,,,,
0200700,020070000,1,,,,,,
0200701,020070100,1,,,,,,
0200702,020070200,1,,,,,,
0200703,020070300,1,,,,,,
0200704,020070400,1,,,,,,
0200705,020070500,1,,,,,,
0200706,020070600,1,,,,,,
0200706,020070601,1,,,,,,
0200706,020070602,1,,,,,,
0200706,020070603,1,,,,,,
0200707,020070700,1,,,,,,
0200708,020070800,1,,,,,,
0200709,020070900,1,,,,,,
0200710,020071000,1,,,,,,
0200711,020071100,1,,,,,,
0200713,020071300,1,,,,,,
0200713,020071302,1,,,,,,
0200713,020071303,1,,,,,,
0200714,020071400,1,,,,,,
0200715,020071500,1,,,,,,
0200716,020071600,1,,,,,,
0200717,020071700,1,,,,,,
0200718,020071800,1,,,,,,
0200720,020072000,1,,,,,,
